AgeGroup,Gender,CityTier,Occupation,PlayFrequency,PlayingLevel,PlayLocation,Motivation_1,Motivation_2,RacketsOwned,PrimaryBrand,StringChangeFreq,Factor_1,Factor_2,LastPurchase,PurchaseChannel,Item_1,Item_2,PlayerType,BrandImportance,WillingToPayPremium,UsesFitnessApps,InterestInTracking,InterestInRecommendations,MonthlySpend,TooExpensivePrice,ScenarioResponse,InterestLevel,InterestBinary,EngagementScore,SeriousnessIndex,SpendingScore
18-24,Male,Tier 1,Student,Occasionally,Beginner,Society/club,Fitness,Socializing,1,Yonex,Never,Performance,Brand,3-6 months,Offline store,Shoes,Shuttlecocks,Competitive player,Somewhat important,Yes,No,Yes,Maybe,0-500,<2000,Buy branded,Very likely,1,3,4,2
45+,Male,Tier 1,Business Owner,3-5/week,Intermediate,Indoor courts,Socializing,,2,Decathlon,Monthly,Brand,Recommendation,<1 month,Brand store,Strings,Grips,Fitness-focused,Somewhat important,No,Yes,Yes,Yes,500-1500,2000-5000,Buy immediately,Very likely,1,6,8,4
25-34,Female,Tier 1,Working Professional,1-2/week,Beginner,Outdoor,Stress relief,,3+,Decathlon,Rarely,Performance,Price,1-3 months,Offline store,Grips,Strings,Casual player,Somewhat important,No,Yes,Maybe,Yes,1500-3000,2000-5000,Skip,Very likely,1,4,5,6
25-34,Male,Tier 2,Working Professional,Occasionally,Competitive,Indoor courts,Competition,Socializing,2,Yonex,2-3 months,Price,,3-6 months,Brand store,Grips,Strings,Aspiring professional,Very important,Yes,No,No,Yes,1500-3000,2000-5000,Buy branded,Very likely,1,6,10,7
18-24,Female,Tier 2,Student,1-2/week,Beginner,Society/club,Stress relief,,1,Others,Never,Performance,Brand,1-3 months,Online,Shuttlecocks,Strings,Casual player,Very important,Yes,Yes,Yes,No,1500-3000,5000-10000,Skip,Very likely,1,4,5,7
18-24,Male,Tier 3,Student,Occasionally,Beginner,Outdoor,Fitness,Socializing,1,Decathlon,Never,Price,Recommendation,3-6 months,Offline store,Shuttlecocks,Strings,Fitness-focused,Not important,Maybe,Yes,Yes,Maybe,0-500,<2000,Buy immediately,Unlikely,0,3,4,2
Under 18,Female,Tier 1,Student,Rarely,Beginner,Society/club,Fitness,,1,Others,Never,Price,Performance,>6 months,Offline store,Shuttlecocks,Grips,Casual player,Not important,Yes,No,Maybe,No,500-1500,10000+,Borrow,Likely,1,2,3,4
35-44,Female,Tier 2,Working Professional,3-5/week,Intermediate,Society/club,Socializing,Competition,1,Others,Monthly,Brand,Price,<1 month,Online,Shuttlecocks,Grips,Fitness-focused,Not important,No,No,No,No,3000+,2000-5000,Buy immediately,Unlikely,0,6,8,8
25-34,Male,Tier 3,Working Professional,Occasionally,Beginner,Outdoor,Fitness,Competition,2,Yonex,Rarely,Price,Recommendation,3-6 months,Online,Shuttlecocks,,Casual player,Somewhat important,Maybe,No,Yes,Maybe,0-500,2000-5000,Borrow,Neutral,0,3,4,2
25-34,Male,Tier 3,Working Professional,3-5/week,Intermediate,Society/club,Stress relief,,2,Yonex,Rarely,Brand,Recommendation,3-6 months,Offline store,Apparel,Grips,Fitness-focused,Somewhat important,Maybe,No,Yes,Maybe,500-1500,2000-5000,Borrow,Very likely,1,6,8,4
